serial_no,period,year,state,city
1,"Jun 20, 2026 - Jun 21, 2026",2026,Odisha,
2,"Jun 20, 2026 - Jun 21, 2026",2026,West Bengal,
3,"Jun 05, 2026 - Jun 05, 2026",2026,Gujarat,
4,"Jun 05, 2026 - Jun 05, 2026",2026,Dadra and Nagar Haveli and Daman and Diu,Daman
5,"May 12, 2026 - May 12, 2026",2026,Assam,
6,"May 10, 2026 - May 11, 2026",2026,Gujarat,
7,"May 09, 2026 - May 09, 2026",2026,West Bengal,
8,"May 07, 2026 - May 07, 2026",2026,Bihar,
9,"Apr 26, 2026 - Apr 29, 2026",2026,Uttar Pradesh,
10,"Apr 23, 2026 - Apr 24, 2026",2026,West Bengal,
11,"Apr 18, 2026 - Apr 19, 2026",2026,Tamil Nadu,
12,"Apr 18, 2026 - Apr 19, 2026",2026,West Bengal,
13,"Apr 15, 2026 - Apr 15, 2026",2026,Karnataka,
14,"Apr 15, 2026 - Apr 15, 2026",2026,Tamil Nadu,
15,"Apr 14, 2026 - Apr 14, 2026",2026,Uttar Pradesh,
16,"Apr 14, 2026 - Apr 14, 2026",2026,Uttarakhand,
17,"Apr 11, 2026 - Apr 12, 2026",2026,West Bengal,
18,"Apr 09, 2026 - Apr 09, 2026",2026,West Bengal,
19,"Apr 05, 2026 - Apr 06, 2026",2026,West Bengal,
20,"Apr 05, 2026 - Apr 06, 2026",2026,Assam,
21,"Apr 03, 2026 - Apr 04, 2026",2026,Kerala,Keralam
22,"Mar 31, 2026 - Apr 01, 2026",2026,Gujarat,
23,"Mar 31, 2026 - Apr 01, 2026",2026,Assam,
24,"Mar 29, 2026 - Mar 29, 2026",2026,Kerala,Keralam
25,"Mar 28, 2026 - Mar 28, 2026",2026,Uttar Pradesh,
26,"Mar 13, 2026 - Mar 14, 2026",2026,Assam,
27,"Mar 13, 2026 - Mar 14, 2026",2026,West Bengal,
28,"Mar 11, 2026 - Mar 11, 2026",2026,Kerala,Keralam
29,"Mar 11, 2026 - Mar 11, 2026",2026,Tamil Nadu,
30,"Mar 08, 2026 - Mar 08, 2026",2026,Delhi,
31,"Feb 28, 2026 - Mar 01, 2026",2026,Puducherry,
32,"Feb 22, 2026 - Feb 22, 2026",2026,Uttar Pradesh,
33,"Feb 17, 2026 - Feb 17, 2026",2026,Maharashtra,
34,"Feb 14, 2026 - Feb 14, 2026",2026,Assam,
35,"Feb 01, 2026 - Feb 01, 2026",2026,Punjab,
36,"Jan 23, 2026 - Jan 23, 2026",2026,Kerala,
37,"Jan 23, 2026 - Jan 23, 2026",2026,Tamil Nadu,
38,"Jan 17, 2026 - Jan 18, 2026",2026,West Bengal,
39,"Jan 17, 2026 - Jan 18, 2026",2026,Assam,
40,"Jan 10, 2026 - Jan 12, 2026",2026,Gujarat,
41,"Dec 25, 2025 - Dec 25, 2025",2025,Uttar Pradesh,
42,"Dec 20, 2025 - Dec 21, 2025",2025,West Bengal,
43,"Dec 20, 2025 - Dec 21, 2025",2025,Assam,
44,"Nov 28, 2025 - Nov 30, 2025",2025,Chhattisgarh,
45,"Nov 25, 2025 - Nov 25, 2025",2025,Uttar Pradesh,
46,"Nov 25, 2025 - Nov 25, 2025",2025,Haryana,
47,"Nov 20, 2025 - Nov 20, 2025",2025,Bihar,
48,"Nov 19, 2025 - Nov 19, 2025",2025,Andhra Pradesh,
49,"Nov 19, 2025 - Nov 19, 2025",2025,Tamil Nadu,
50,"Nov 15, 2025 - Nov 15, 2025",2025,Gujarat,
51,"Nov 09, 2025 - Nov 09, 2025",2025,Uttarakhand,
52,"Nov 07, 2025 - Nov 08, 2025",2025,Bihar,
53,"Nov 07, 2025 - Nov 08, 2025",2025,Uttar Pradesh,
54,"Nov 06, 2025 - Nov 06, 2025",2025,Bihar,
55,"Nov 03, 2025 - Nov 03, 2025",2025,Bihar,
56,"Nov 02, 2025 - Nov 02, 2025",2025,Bihar,
57,"Nov 01, 2025 - Nov 01, 2025",2025,Chhattisgarh,
58,"Oct 30, 2025 - Oct 31, 2025",2025,Gujarat,
59,"Oct 30, 2025 - Oct 30, 2025",2025,Bihar,
60,"Oct 29, 2025 - Oct 29, 2025",2025,Maharashtra,
61,"Oct 24, 2025 - Oct 24, 2025",2025,Bihar,
62,"Oct 20, 2025 - Oct 20, 2025",2025,Maharashtra,Ins Vikrant
63,"Oct 16, 2025 - Oct 16, 2025",2025,Andhra Pradesh,
64,"Oct 08, 2025 - Oct 09, 2025",2025,Maharashtra,
65,"Sep 27, 2025 - Sep 27, 2025",2025,Odisha,
66,"Sep 25, 2025 - Sep 25, 2025",2025,Uttar Pradesh,
67,"Sep 25, 2025 - Sep 25, 2025",2025,Rajasthan,
68,"Sep 22, 2025 - Sep 22, 2025",2025,Arunachal Pradesh,
69,"Sep 22, 2025 - Sep 22, 2025",2025,Tripura,
70,"Sep 20, 2025 - Sep 20, 2025",2025,Gujarat,
71,"Sep 17, 2025 - Sep 17, 2025",2025,Madhya Pradesh,
72,"Sep 13, 2025 - Sep 15, 2025",2025,Bihar,
73,"Sep 11, 2025 - Sep 11, 2025",2025,Uttar Pradesh,
74,"Sep 11, 2025 - Sep 11, 2025",2025,Uttarakhand,
75,"Sep 09, 2025 - Sep 09, 2025",2025,Himachal Pradesh,
76,"Sep 09, 2025 - Sep 09, 2025",2025,Punjab,
77,"Aug 25, 2025 - Aug 26, 2025",2025,Gujarat,
78,"Aug 22, 2025 - Aug 22, 2025",2025,Bihar,
79,"Aug 22, 2025 - Aug 22, 2025",2025,West Bengal,
80,"Aug 17, 2025 - Aug 17, 2025",2025,Delhi,
81,"Aug 10, 2025 - Aug 10, 2025",2025,Karnataka,
82,"Aug 02, 2025 - Aug 02, 2025",2025,Uttar Pradesh,
83,"Jul 26, 2025 - Jul 27, 2025",2025,Tamil Nadu,
84,"Jul 18, 2025 - Jul 18, 2025",2025,Bihar,
85,"Jul 18, 2025 - Jul 18, 2025",2025,West Bengal,
86,"Jun 20, 2025 - Jun 21, 2025",2025,Andhra Pradesh,
87,"Jun 13, 2025 - Jun 13, 2025",2025,Gujarat,
88,"Jun 06, 2025 - Jun 06, 2025",2025,Jammu and Kashmir,Jammu
89,"Jun 06, 2025 - Jun 06, 2025",2025,Jammu and Kashmir,
90,"May 31, 2025 - May 31, 2025",2025,Madhya Pradesh,
91,"May 29, 2025 - May 30, 2025",2025,Uttar Pradesh,
92,"May 26, 2025 - May 27, 2025",2025,Gujarat,
93,"May 22, 2025 - May 22, 2025",2025,Rajasthan,
94,"May 13, 2025 - May 13, 2025",2025,Punjab,
95,"May 01, 2025 - May 02, 2025",2025,Andhra Pradesh,
96,"Apr 24, 2025 - Apr 24, 2025",2025,Bihar,
97,"Apr 14, 2025 - Apr 14, 2025",2025,Haryana,
98,"Apr 11, 2025 - Apr 11, 2025",2025,Uttar Pradesh,
99,"Apr 11, 2025 - Apr 11, 2025",2025,Madhya Pradesh,
100,"Apr 06, 2025 - Apr 06, 2025",2025,Tamil Nadu,
101,"Mar 30, 2025 - Mar 30, 2025",2025,Maharashtra,
102,"Mar 30, 2025 - Mar 30, 2025",2025,Chhattisgarh,
103,"Mar 07, 2025 - Mar 08, 2025",2025,Dadra and Nagar Haveli and Daman and Diu,Dadra
104,"Mar 07, 2025 - Mar 08, 2025",2025,Dadra and Nagar Haveli and Daman and Diu,Diu
105,"Mar 07, 2025 - Mar 08, 2025",2025,Gujarat,
106,"Mar 06, 2025 - Mar 06, 2025",2025,Uttarakhand,
107,"Mar 01, 2025 - Mar 03, 2025",2025,Gujarat,
108,"Feb 23, 2025 - Feb 25, 2025",2025,Assam,
109,"Feb 05, 2025 - Feb 05, 2025",2025,Uttar Pradesh,
110,"Jan 28, 2025 - Jan 28, 2025",2025,Odisha,
111,"Jan 28, 2025 - Jan 28, 2025",2025,Uttarakhand,
112,"Jan 15, 2025 - Jan 15, 2025",2025,Maharashtra,
113,"Jan 13, 2025 - Jan 13, 2025",2025,Jammu and Kashmir,Jammu
114,"Jan 13, 2025 - Jan 13, 2025",2025,Jammu and Kashmir,
115,"Jan 08, 2025 - Jan 09, 2025",2025,Andhra Pradesh,
116,"Jan 08, 2025 - Jan 09, 2025",2025,Odisha,
117,"Jan 05, 2025 - Jan 05, 2025",2025,Uttar Pradesh,
